iso3,country,year,agricultural_land_ha,co2_fossil_industry_t,co2_landuse_change_t,agricultural_land_pct,forest_land_pct,pesticide_use_per_cropland_kg_ha,transport_ghg_emissions_mtco2e,total_species_count,endemic_species_small_range,species_high_extinction_risk,pct_households_irrigation,pct_households_fertilizer,freshwater_resources_per_capita,hazardous_waste_generated_kt,so2_emissions_per_capita,nox_emissions_per_capita,climatological_disasters_count
AFG,Afghanistan,2023,38116000.0,,,58.4395075356853,1.85278199408184,,5.42,4667.0,17.0,49.0,,,,,0.5528344171573637,2.0452691189897907,2.0
ALB,Albania,2023,1044600.0,,,38.1240875912409,28.7919708029197,0.44,1.81,16505.0,31.0,165.0,,,11819.51693785963,,0.5400597778666626,16.367186642971543,1.0
DZA,Algeria,2023,41344700.0,,,17.359031632336,0.830314224054683,0.71,44.25,9943.0,47.0,137.0,,,339.90569041501,325100.0,1.4702548186119828,9.030598889165145,3.0
AND,Andorra,2023,18740.8,,,39.8740425531915,34.0425531914894,21.55,,25302.0,0.0,259.0,,,5325.745798246992,1195.4,,,
AGO,Angola,2023,46063000.0,,,36.9479425683805,52.0912696719339,0.01,7.26,7872.0,89.0,73.0,,16.9100083633756,,,,7.739147165621738,2.0
ATG,Antigua and Barbuda,2023,9000.0,,,20.4545454545455,18.0134090909091,36.59,0.24,6906.0,4.0,157.0,,,,,3.608890731974903,2.9789752587574654,
ARG,Argentina,2023,116136344.0,,,42.4367915620695,10.3212951412107,6.33,48.39,20209.0,624.0,716.0,,,,930849.83,2.859045922628824,24.12227194378816,5.0
ARM,Armenia,2023,1652300.0,,,58.5933621376878,11.6183158247114,2.01,2.46,7423.0,80.0,104.0,,,1483.9092708998255,24992653.1,10.231061640764937,5.982107545177719,1.0
AUS,Australia,2023,363243680.0,,,47.2234443228177,17.4213145571644,5.81,90.03,80856.0,11533.0,5540.0,,,,,81.44336870677861,116.56853243466352,11.0
AUT,Austria,2023,2597263.0,,,31.4743456131847,47.2402653902084,3.79,22.9,40926.0,221.0,806.0,,,,1287107.0,1.2147419520952405,13.59104428643275,
AZE,Azerbaijan,2023,4779600.0,,,57.8294010889292,14.1119540229885,0.23,7.89,7789.0,8.0,84.0,,,1614.6948377039605,245221.8,,0.4317470514914486,1.0
BHS,Bahamas,2023,13000.0,,,1.2987012987013,50.9350649350649,16.19,0.45,14798.0,128.0,321.0,,,,,,,
BHR,Bahrain,2023,8100.0005,,,10.125,0.95,4.31,3.61,1950.0,0.0,27.0,,,,92481.1406,40.62587928697068,78.2424341823139,
BGD,Bangladesh,2023,9399000.0,,,72.311124788429,14.4899215263887,1.76,12.02,7131.0,14.0,89.0,,,9478.97859623402,10867838.91,,0.0275393549408785,1.0
BRB,Barbados,2023,10000.0,,,23.2558139534884,14.6511627906977,8.55,0.36,4770.0,13.0,72.0,,,,,0.1864398563667346,0.1864398563667346,1.0
BLR,Belarus,2023,8034000.0,,,39.5796692333841,43.4080686559958,0.86,10.66,18818.0,1.0,204.0,,,3946.084008848961,2022248.0,0.5445433402623678,0.2476260104979609,
BEL,Belgium,2023,1353300.0,,,44.3792221420607,22.604446776415,5.42,23.59,44232.0,67.0,664.0,,,2171.357321909443,3945579.0,2.0160182804974296,12.131756645175509,
BLZ,Belize,2023,182000.0,,,7.97895659798334,54.5186321788689,11.33,0.47,18640.0,106.0,269.0,,,45708.56736129219,775.0,2.62793845665637,0.0955630094702942,
BEN,Benin,2023,4716752.5,,,41.8300133025896,26.4734835047889,1.71,4.36,8064.0,70.0,117.0,4.45028436722116,53.7925956713085,,1698.0,2.021569917990967,3.635330342439088,1.0
BTN,Bhutan,2023,527000.0,,,13.8175144205558,71.60513896172,1.34,0.4,7798.0,50.0,112.0,,,,358.6300048828125,1.7935277336915876,2.994852913805764,1.0
BOL,Bolivia,2023,38815400.0,,,35.8307014677375,46.3457431920982,2.71,11.51,22699.0,648.0,455.0,,,,,1.4373499543255324,1.4802331976777263,6.0
BIH,Bosnia and Herzegovina,2023,1113000.0,,,21.73828125,42.7326171875,6.13,4.26,19806.0,8.0,190.0,,,7957.59343083516,9943.0,148.18618387837705,22.687419624790284,2.0
BWA,Botswana,2023,25862000.0,,,45.63372328975,26.2908263194114,4.85,2.22,8932.0,42.0,78.0,,1.83168718836973,,,,3.693074545281669,3.0
BRA,Brazil,2023,236758800.0,,,28.3267329812614,58.9818729765235,12.63,207.79,59191.0,5194.0,3031.0,,,36535.55980360752,,,12.498932254457351,6.0
BRN,Brunei,2023,13400.0,,,2.5426944971537,72.1062618595825,16.69,1.19,10079.0,27.0,149.0,,,,,,,1.0
BGR,Bulgaria,2023,5002990.0,,,46.0850221075903,36.2196020633751,0.95,9.86,16451.0,49.0,164.0,,,12124.083068897276,13951855.0,46.541803843300606,16.70217282362365,1.0
BFA,Burkina Faso,2023,14610789.0,,,53.4020054824561,22.172514619883,0.45,3.16,5261.0,6.0,43.0,4.69246850104526,64.0740832815413,,18.3,0.2017058349214505,2.0251916490097246,3.0
BDI,Burundi,2023,2154206.8,,,83.8865576323987,10.8894080996885,0.03,0.67,7300.0,41.0,120.0,,,1366.0821927703416,,,2.011409145552451,4.0
KHM,Cambodia,2023,6154340.0,,,34.8648294810786,43.0619759800589,4.15,7.08,11117.0,46.0,125.0,,,,,2.489847499021361,2.0633075066138136,1.0
CMR,Cameroon,2023,9896900.0,,,20.9365149880476,42.6741130925938,1.25,3.65,11183.0,355.0,238.0,17.9028027534248,,,8716.599609375,0.4582881210278695,7.267140204870503,1.0
CAN,Canada,2023,56875000.0,,,6.47137801950231,39.4617117321106,2.5,162.04,45433.0,1452.0,2260.0,,,,,,,6.0
CPV,Cape Verde,2023,79000.0,,,19.6029776674938,11.5682382133995,0.09,0.23,2499.0,117.0,100.0,,,-1321.8087509913084,3548.929,,4.734012490132609,2.0
CAF,Central African Republic,2023,5668800.0,,,9.09948955022633,35.6560403223217,0.1,0.23,5621.0,15.0,31.0,0.407740635956668,,,,,0.0674380834096695,2.0
TCD,Chad,2023,50337300.0,,,39.9756194409149,3.16103105146125,0.01,0.83,3506.0,1.0,17.0,3.1999160207594,4.69572857263716,,,0.1219799242916878,1.5655492352195244,2.0
