state,species_richness,observation_count
Karnataka,2755,13546
Kerala,2651,11415
Tamil Nadu,2402,7833
Assam,2010,7176
Maharashtra,1856,6735
West Bengal,1522,12391
Rajasthan,1241,6198
Odisha,1070,4856
Uttarakhand,798,2655
Madhya Pradesh,780,1439
Manipur,590,781
Uttar Pradesh,572,1659
Gujarat,557,1508
Andhra Pradesh,543,1081
Goa,520,960
Meghalaya,467,676
Arunachal Pradesh,391,694
Delhi,336,670
Puducherry,315,464
Sikkim,238,291
Jharkhand,218,314
Telangana,190,282
Himachal Pradesh,185,291
Haryana,172,244
Bihar,127,223
Tripura,117,131
Punjab,92,107
Chhattisgarh,92,104
Nagaland,83,100
Chandigarh,78,101
Mizoram,51,54
Jammu and Kashmir,50,99
Ladakh,20,22
